published,episode_number,duration,title,topics,episode_path,summary_path,chunk_count,transcript_chars
2026-05-05,398,01:16:05,"Kitchen Sink Episode: AG Semifinals Workouts, Del Mar & Magic City Recap, Telegram Q&A E.398",Semifinals; Games; Affiliate Programming; Zone 2; Accessory Work; Gymnastics; Competition Mindset; Weaknesses; Nutrition,episodes/2026-05-05-e398-kitchen-sink-episode-ag-semifinals-workouts-del-mar-and-magic-city-rec/episode.md,episodes/2026-05-05-e398-kitchen-sink-episode-ag-semifinals-workouts-del-mar-and-magic-city-rec/summary.md,8,67091
2026-04-28,397,01:41:08,The Compound P.1: Misfit Affiliate. New Season. New Phase E.397,Open; Affiliate Programming; Gymnastics; Competition Mindset; Nutrition,episodes/2026-04-28-e397-the-compound-p-1-misfit-affiliate-new-season-new-phase-e-397/episode.md,episodes/2026-04-28-e397-the-compound-p-1-misfit-affiliate-new-season-new-phase-e-397/summary.md,11,98329
2026-04-22,396,01:15:42,A CrossFitter's Guide to Accessory Work - E.396,Semifinals; Games; Affiliate Programming; Zone 2; Accessory Work; Competition Mindset; Nutrition,episodes/2026-04-22-e396-a-crossfitter-s-guide-to-accessory-work-e-396/episode.md,episodes/2026-04-22-e396-a-crossfitter-s-guide-to-accessory-work-e-396/summary.md,8,71056
2026-04-15,367.2,00:51:04,Throwback Episode: Training Smart AND Hard on Machines: The Misfit Gears Matrix 2.0 - E.367.2,Semifinals; Games; Affiliate Programming; Zone 2; Gymnastics; Competition Mindset; Weaknesses; Nutrition,episodes/2026-04-15-e367-2-throwback-episode-training-smart-and-hard-on-machines-the-misfit-gears/episode.md,episodes/2026-04-15-e367-2-throwback-episode-training-smart-and-hard-on-machines-the-misfit-gears/summary.md,6,51408
2026-04-08,395,01:23:38,How to Attack Weaknesses Following Quarterfinals: Offseason Block 1 - E.395,Open; Quarterfinals; Semifinals; Games; Affiliate Programming; Zone 2; Accessory Work; Competition Mindset; Weaknesses; Nutrition,episodes/2026-04-08-e395-how-to-attack-weaknesses-following-quarterfinals-offseason-block-1-e-3/episode.md,episodes/2026-04-08-e395-how-to-attack-weaknesses-following-quarterfinals-offseason-block-1-e-3/summary.md,9,77202
2026-03-31,394,01:06:51,"Quarterfinals Recap: Programming, results, rants, what's next, and urine surveillance? - E.394",Open; Quarterfinals; Semifinals; Games; Affiliate Programming; Zone 2; Competition Mindset; Weaknesses; Nutrition,episodes/2026-03-31-e394-quarterfinals-recap-programming-results-rants-what-s-next-and-urine-su/episode.md,episodes/2026-03-31-e394-quarterfinals-recap-programming-results-rants-what-s-next-and-urine-su/summary.md,7,61733
2026-03-24,393,01:10:42,"Open Review / QF Preview: Misfit Leaderboards, Open Review, QF First Thoughts - E.393",Open; Quarterfinals; Semifinals; Affiliate Programming; Accessory Work; Gymnastics; Competition Mindset; Nutrition,episodes/2026-03-24-e393-open-review-qf-preview-misfit-leaderboards-open-review-qf-first-though/episode.md,episodes/2026-03-24-e393-open-review-qf-preview-misfit-leaderboards-open-review-qf-first-though/summary.md,8,65691
2026-03-12,392,00:55:51,"Open Workout 26.3: 26.2 Recap, Live reactions, warming up, strategizing, & more - E.392",Open; Quarterfinals; Games; Affiliate Programming; Gymnastics; Competition Mindset; Nutrition,episodes/2026-03-12-e392-open-workout-26-3-26-2-recap-live-reactions-warming-up-strategizing-an/episode.md,episodes/2026-03-12-e392-open-workout-26-3-26-2-recap-live-reactions-warming-up-strategizing-an/summary.md,6,52905
2026-03-10,391,01:26:54,RUSHMORE: New Misfit Affiliate Phase - E.391,Open; Quarterfinals; Games; Affiliate Programming; Gymnastics; Competition Mindset; Nutrition,episodes/2026-03-10-e391-rushmore-new-misfit-affiliate-phase-e-391/episode.md,episodes/2026-03-10-e391-rushmore-new-misfit-affiliate-phase-e-391/summary.md,9,85037
2026-03-05,390,01:13:26,"Open Workout 26.2: 26.1 Recap, Live reactions, warming up, strategizing, & more - E.390",Open; Quarterfinals; Semifinals; Affiliate Programming; Zone 2; Gymnastics; Competition Mindset; Nutrition,episodes/2026-03-05-e390-open-workout-26-2-26-1-recap-live-reactions-warming-up-strategizing-an/episode.md,episodes/2026-03-05-e390-open-workout-26-2-26-1-recap-live-reactions-warming-up-strategizing-an/summary.md,8,69977
